Date,Open,High,Low,Close,Volume,Close_Scaled,Prediction
2020-01-02,6985.47021484375,7212.1552734375,6935.27001953125,7202.55126953125,20802083465,0.03517303225966009,0.06944807018104841
2020-01-03,7344.88427734375,7413.71533203125,6914.99609375,6984.4287109375,28111481032,0.03168570251245435,0.07014295214260839
2020-01-04,7410.65673828125,7427.3857421875,7309.51416015625,7345.37548828125,18444271275,0.03745649688559982,0.06942130912226725
2020-01-05,7411.3173828125,7544.4970703125,7400.53564453125,7410.45166015625,19725074095,0.03849693062834092,0.06859246573460324
2020-01-06,7769.21923828125,7781.8671875,7409.29296875,7410.4521484375,23276261598,0.038496938434950834,0.06684297322670045
2020-01-07,8163.6923828125,8178.2158203125,7768.2275390625,7768.68212890625,28767291327,0.044224296830541354,0.0737882174149604
2020-01-08,8079.86279296875,8396.73828125,7956.7744140625,8161.935546875,31672559265,0.05051160774195869,0.07551781868080533
2020-01-09,7879.0712890625,8082.2958984375,7842.40380859375,8082.2958984375,24045990466,0.04923833405195781,0.07659008777877092
2020-01-10,8166.55419921875,8166.55419921875,7726.77490234375,7878.3076171875,28714583844,0.04597698224189849,0.07772242093340574
2020-01-11,8037.53759765625,8218.359375,8029.64208984375,8162.19091796875,25521165085,0.050515690598943105,0.08174602574857272
2020-01-12,8192.494140625,8200.0634765625,8009.05908203125,8033.26171875,22903438381,0.0484543786712925,0.07759447059693463
2020-01-13,8144.1943359375,8197.7880859375,8079.70068359375,8189.77197265625,22482910688,0.05095665476647869,0.08313422834971014
2020-01-14,8827.7646484375,8879.51171875,8140.93310546875,8140.93310546875,44841784107,0.050175822029778536,0.0850779336990241
2020-01-15,8807.0107421875,8890.1171875,8657.1875,8825.34375,40102834650,0.06111813636611178,0.08328072719133413
2020-01-16,8723.7861328125,8846.4609375,8612.095703125,8812.4814453125,31313981931,0.06091249464778824,0.08491638371348818
2020-01-17,8929.0380859375,8958.1220703125,8677.31640625,8725.2099609375,36372139320,0.059517203644849956,0.07812667842113126
2020-01-18,8942.80859375,9012.1982421875,8827.33203125,8927.2119140625,32337772627,0.06274679816578392,0.07888420062063174
